id,username,msgtime,star,comment,effflag,storeid,segmented
879,Shigehito Tokumitsu,2 個月前,5,可口的！ 餐點：5/5  |  服務：3/5  |  氣氛：3/5,1,1737,可口 的 ！   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
880,KEVIN GUENG,2 個月前,4,餐點：4/5  |  服務：3/5  |  氣氛：3/5,0,1737,餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
881,Po-Chung TIEN (台南阿中),2 個月前,3,跟家人長輩吃中飯，所點的餐點算中上尚可，已經沒有以前的驚豔感受與想讚賞的衝動，服務真的非常有待加強，都應該學習一下鼎泰豐服務：接待客人入座、上菜時、收盤子整理桌子等時的態度與對話。氣氛得看運氣：有那些客人在其他桌了。  基本上還算是中規中矩的餐廳，CP值就普普。 餐點：4/5  |  服務：2/5  |  氣氛：3/5,0,1737,跟 家人 長 輩 吃 中飯 ， 所點 的 餐點 算 中 上 尚可 ， 已經 沒有 以前 的 驚 豔 感受 與 想 讚 賞 的 衝 動 ， 服務 真的 非常 有待 加強 ， 都 應該 學習 一下 鼎泰豐 服務 ： 接待客人 入座 、 上菜 時 、 收盤子 整理 桌子 等 時 的 態度 與 對 話 。 氣氛 得 看 運氣 ： 有 那些 客人 在 其他 桌 了 。     基本上 還 算是 中規 中矩 的 餐廳 ， CP 值 就 普普 。   餐點 ： 4 / 5     |     服務 ： 2 / 5     |     氣氛 ： 3 / 5
882,Deborah Lin,2 個月前,4,"4/05/'22 今天外帶蝦仁爆蛋，豆干肉絲，紅燒獅子頭，清炒豆苗，糖醋魚片，左宗堂雞，蔬菜鍋餅，炸銀絲卷以及清燉竹笙南排湯。每道都好吃。 ……………… 菜色豐富,美味可口,服務佳,價格公道.值得嚐嚐. --------------------------------------------------------------- 8/30/'23 外帶香根腐竹、桂花甜芋、紅燒白果牛腩、糖醋排骨、豆酥鱈魚、清炒豆苗、蝦仁爆蛋、老皮嫩肉以及清燉竹笙南排湯。 口味不錯，只可惜外帶等候時間過長。",0,1737,"4 / 05 / ' 22   今天 外帶 蝦仁 爆蛋 ， 豆干肉 絲 ， 紅燒 獅子頭 ， 清炒 豆苗 ， 糖醋 魚片 ， 左宗堂 雞 ， 蔬菜 鍋餅 ， 炸銀絲卷 以及 清燉 竹 笙 南 排湯 。 每道 都 好吃 。   … … … … … …   菜色 豐富 , 美味可口 , 服務佳 , 價格 公道 . 值得 嚐嚐 .   ---------------------------------------------------------------   8 / 30 / ' 23   外帶 香根 腐竹 、 桂花 甜芋 、 紅燒 白果 牛腩 、 糖醋排骨 、 豆 酥 鱈魚 、 清炒 豆苗 、 蝦仁 爆蛋 、 老 皮嫩肉 以及 清燉 竹 笙 南 排湯 。   口味 不錯 ， 只 可惜 外帶 等候 時間 過長 。"
883,TsaiHung Wei,2 個月前,4,服務人員EQ要再高點，每個人都不同經驗，無需堅持說明自家才是正確，這讓客戶很反感，只需說下次改善即可。 餐點：5/5  |  服務：4/5  |  氣氛：5/5,0,1737,服務人員 EQ 要 再 高點 ， 每個 人 都 不同 經驗 ， 無需 堅持 說明 自家 才 是 正確 ， 這讓 客戶 很 反感 ， 只 需 說 下次 改善 即可 。   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
884,劉惠茹,2 個月前,3,餐點：4/5  |  服務：3/5  |  氣氛：4/5,0,1737,餐點 ： 4 / 5     |     服務 ： 3 / 5     |     氣氛 ： 4 / 5
885,吳玲,2 個月前,3,8月初聚餐，點了桌菜，送上湯包及薑絲，幾個人吃了後，才發現薑絲沾醬中，竟然有--小小強，經反映後-服務人員回應說，可能是這幾天消毒......，意味著是因為消毒，蟑螂都跑出來的意思嗎！讓花錢請客的人超級沒面子！ 餐點：2/5  |  服務：3/5  |  氣氛：3/5,0,1737,8 月初 聚餐 ， 點了 桌菜 ， 送上 湯包 及 薑 絲 ， 幾個 人 吃 了 後 ， 才 發現 薑 絲 沾 醬 中 ， 竟然 有 -- 小小 強 ， 經 反映 後 - 服務人員 回應 說 ， 可能 是 這幾天 消毒 ...... ， 意味著 是 因為 消毒 ， 蟑螂 都 跑 出來 的 意思 嗎 ！ 讓 花 錢 請 客 的 人 超級 沒 面子 ！   餐點 ： 2 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
886,SAINT LIU,2 個月前,4,餐點：5/5  |  服務：4/5  |  氣氛：4/5,0,1737,餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5
887,吳好手,2 個月前,1,多年前的美食回憶這次全沒了。變的好難吃喔 餐點：1/5  |  服務：1/5  |  氣氛：1/5,0,1737,多年 前 的 美食 回憶 這次 全 沒 了 。 變 的 好 難 吃 喔   餐點 ： 1 / 5     |     服務 ： 1 / 5     |     氣氛 ： 1 / 5
888,Isao,2 個月前,5,餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 炒水蓮 娃娃菜 寧波老燒蛋 豆干肉絲 上海砂鍋菜飯 紹興醉元寶,0,1737,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   炒水蓮   娃娃 菜   寧波 老燒 蛋   豆干肉 絲   上海 砂鍋 菜 飯   紹興醉元 寶
889,Pei Hsieh,2 個月前,5,份量不會太大，口味鹹度適中，是讓人想一再拜訪的店 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1737,份量 不會 太大 ， 口味 鹹 度 適中 ， 是 讓 人 想 一 再拜 訪 的 店   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
890,Lawrence Huang,2 個月前,1,太差了，份量少 菜色普通、廚房提早打烊 好吃少也就罷 少而平凡就 ... 洗手間也不OK 唉！ 貴又少,1,1737,太差 了 ， 份量 少   菜色 普通 、 廚房 提早 打烊   好吃 少 也 就罷   少 而 平凡 就   ...   洗手 間 也 不 OK   唉 ！   貴 又 少
891,hung Jh0930793,2 個月前,5,食物好吃，CP值不錯。 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 糖醋排骨 醉雞 蔥油餅 東坡肉 刈包,0,1737,食物 好吃 ， CP 值不錯 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   糖醋排骨   醉雞   蔥油餅   東坡 肉   刈包
892,陳竟瑜,2 個月前,4,好吃 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 蔥油餅,0,1737,好吃   餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   蔥油餅
893,李縈縈,2 個月前,5,很好吃！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1737,很 好吃 ！   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
894,金崇廉,2 個月前,5,5個人吃了8人份的5000元合菜，好吃又值得，只是很飽。 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1737,5 個 人 吃 了 8 人份 的 5000 元合菜 ， 好吃 又 值得 ， 只是 很 飽 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
895,張哲嘉,2 個月前,5,菜色好! 但服務SOSO 餐點：5/5  |  服務：3/5  |  氣氛：3/5,0,1737,菜色 好 !   但 服務 SOSO   餐點 ： 5 / 5     |     服務 ： 3 / 5     |     氣氛 ： 3 / 5
896,Huang Jerry,2 個月前,5,餐點非常好吃，服務生推薦的菜都很棒，下次直接點招牌菜就好了！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 寧波老燒蛋 豆干肉絲 上海砂鍋菜飯 蔥油餅 東坡肉 刈包,0,1737,餐點 非常 好吃 ， 服務生 推薦 的 菜 都 很棒 ， 下次 直接 點 招牌菜 就 好 了 ！   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   寧波 老燒 蛋   豆干肉 絲   上海 砂鍋 菜 飯   蔥油餅   東坡 肉   刈包
897,H. J. Cheng,2 個月前,4,餐點：4/5  |  服務：5/5  |  氣氛：4/5,0,1737,餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
898,陳惠倩,2 個月前,5,餐點美味可口.... 餐點：5/5  |  服務：4/5  |  氣氛：5/5,0,1737,餐點 美味可口 ....   餐點 ： 5 / 5     |     服務 ： 4 / 5     |     氣氛 ： 5 / 5
899,徐御凡,2 個月前,5,慶祝父親節來吃，環境舒適餐點好吃，價格合理。 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1737,慶祝父 親節 來 吃 ， 環境 舒適 餐點 好吃 ， 價格 合理 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
900,須WilliamHsuSr,2 個月前,5,菜品保持一定的水準。 餐點：5/5  |  服務：5/5  |  氣氛：4/5,0,1737,菜品 保持 一定 的 水準 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5
901,Rebecca Kuo,2 個月前,5,肴肉做得很棒，東坡肉稍甜，整體菜色口味都不錯，價格偏高。 ??更多,0,1737,肴 肉 做 得 很棒 ， 東坡 肉 稍 甜 ， 整體 菜色 口味 都 不錯 ， 價格 偏高 。   ? ? 更 多
902,gim,2 個月前,5,非常喜歡這裡的菜色和環境，而且價格很合理～,1,1737,非常 喜歡 這裡 的 菜色 和 環境 ， 而且 價格 很 合理 ～
903,奇皇后?????,2 個月前,1,超級無敵油膩，蝦仁烘蛋像是浸油不用錢一樣，茄子也是 。 臭豆腐煮太老，整個豆腐縮水又變很鹽很硬。 咖哩螃蟹乾癟油膩，沒什麼蟹肉，是用了什麼別人不要的螃蟹？沒有六百多元的價值。 ??更多,1,1737,超級 無 敵油膩 ， 蝦仁 烘 蛋 像是 浸油 不用 錢 一樣 ， 茄子 也 是   。   臭豆腐 煮 太 老 ， 整個 豆腐 縮水 又 變 很 鹽 很 硬 。   咖哩 螃蟹 乾癟 油膩 ， 沒什麼 蟹肉 ， 是 用 了 什麼 別人 不要 的 螃蟹 ？ 沒有 六百多 元 的 價值 。   ? ? 更 多
904,William Kao,2 個月前,4,,0,1737,
905,Liu Jodie,3 個月前,3,餐點很好吃 特別推薦私房臭豆腐~ 昨晚有位戴眼鏡有染髮的女性工作人員口氣不太好，請改進 然後晚餐時間還沒結束就沒有飯了，真的太誇張，我們9位是有預定的，而且其它桌還有別的客人   ??更多,0,1737,餐點 很 好吃   特別 推薦 私房 臭豆腐 ~   昨晚 有位 戴 眼鏡 有染 髮 的 女性 工作 人員口氣 不太好 ， 請 改進   然 後 晚餐 時間 還沒 結束 就 沒 有 飯 了 ， 真的 太誇張 ， 我們 9 位是 有 預定 的 ， 而且 其它 桌還 有別 的 客人       ? ? 更 多
906,許郁驊,3 個月前,4,更多,0,1737,更 多
907,Jade Pelchat,3 個月前,5,我們和家人在那裡度過了一段美好的時光！食物很棒！服務很棒，經理陳小姐人很好！從上到下一切都很完美！ ??更多,0,1737,我們 和 家人 在 那裡度過 了 一段 美好 的 時光 ！ 食物 很棒 ！ 服務 很棒 ， 經理 陳 小姐 人 很 好 ！ 從 上 到 下 一切 都 很 完美 ！   ? ? 更 多
908,robert lin,3 個月前,4,更多,0,1737,更 多
909,劉易昇,3 個月前,5,道地江浙料理，涼菜具特色，主菜味美且份量十足，大廚功力了得，值得呼朋引伴再來回味。服務也到位，賓主盡歡。   ??更多,0,1737,道 地 江浙 料理 ， 涼菜 具 特色 ， 主菜 味美且 份量 十足 ， 大廚 功力 了 得 ， 值得 呼朋引 伴 再 來 回味 。 服務 也 到位 ， 賓主 盡歡 。       ? ? 更 多
910,Alice,3 個月前,4,公司聚餐餐點沒得挑剔：東坡肉刈包、XO炒三蘇、田園小炒很讚、蔥油餅很好吃、豆沙鍋餅很好吃、砂鍋白菜什錦還好、寧波老燒蛋還好、芋頭雞肉還好、絲瓜蝦仁湯包還好、蝦鬆還好、醉雞好吃… 題外話：第一次來我只是不懂多問了一句就被門口某位帶位小姐嗆得很不舒服、去過這麼多家大飯店和餐廳來這裡才知道帶位小姐很大…^^ 下次要考慮去板橋分店 ??更多,0,1737,公司 聚餐 餐點 沒得 挑剔 ： 東坡 肉 刈包 、 XO 炒三蘇 、 田園 小炒 很 讚 、 蔥油餅 很 好吃 、 豆沙 鍋餅 很 好吃 、 砂鍋 白菜 什錦 還好 、 寧波 老燒 蛋 還好 、 芋頭 雞肉 還好 、 絲瓜 蝦仁 湯包 還好 、 蝦 鬆 還 好 、 醉雞 好吃 …   題外 話 ： 第一次 來 我 只是 不 懂 多問 了 一句 就 被 門口 某位 帶位 小姐 嗆 得 很 不 舒服 、 去過 這麼 多家 大飯 店 和 餐廳 來 這裡 才 知道 帶位 小姐 很大 … ^ ^   下次 要 考慮 去 板橋 分店   ? ? 更 多
911,BEAR T,2 天前,1,六星好評大家一定要來吃！ 美味食物搭配衝到不行的口氣 女廁馬桶座壞掉還繼續用 水龍頭一邊水量還超小 多問幾句服務生還會嘆氣喔！ 請問這個價位還加服務費還要受氣嗎 餐點：4/5  |  服務：2/5  |  氣氛：2/5,0,1738,六星 好評 大家 一定 要來 吃 ！   美味 食物 搭配 衝到 不行 的 口氣   女 廁馬桶 座 壞 掉 還繼續 用   水龍頭 一邊 水量 還超 小   多問 幾句 服務生 還會 嘆氣 喔 ！   請問 這個 價位 還加 服務費 還要 受氣 嗎   餐點 ： 4 / 5     |     服務 ： 2 / 5     |     氣氛 ： 2 / 5
912,小卡的美麗日誌（Monica Lee）,4 天前,5,大三元的烤鴨還是非常的好吃，這裡的桌菜很厲害 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,大三元 的 烤 鴨 還是 非常 的 好吃 ， 這裡 的 桌菜 很 厲害   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
913,Hsu Rachel,5 天前,5,烤鵝真的超讚，龍星班也很新鮮，宴客長輩的好地方 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,烤鵝 真的 超 讚 ， 龍星班 也 很 新鮮 ， 宴客 長 輩 的 好 地方   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
914,JY Y,5 天前,4,有回家的感覺，老朋友來了，想吃點什麼？江浙淮揚菜，米其林餐廳 餐點：5/5  |  服務：5/5  |  氣氛：4/5  建議的餐點 紅豆麻糬甜點 鹹魚雞粒豆腐煲 蝦鬆 蘿蔔絲酥餅 脆皮烤鴨,0,1738,有 回家 的 感覺 ， 老朋友 來 了 ， 想吃點 什麼 ？ 江浙 淮揚 菜 ， 米其林 餐廳   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   紅豆 麻 糬 甜 點   鹹 魚雞粒 豆腐 煲   蝦 鬆   蘿 蔔 絲 酥餅   脆皮 烤 鴨
915,Bruce Lin,6 天前,5,烤鴨跟湯真的很好吃，服務人員熱情細心。 餐點：5/5  |  服務：5/5  建議的餐點 紅豆麻糬甜點 蝦鬆 翡翠瑤柱羹 脆皮烤鴨 佛跳牆,1,1738,烤 鴨 跟湯 真的 很 好吃 ， 服務人員 熱情 細心 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     建議 的 餐點   紅豆 麻 糬 甜 點   蝦 鬆   翡翠 瑤柱 羹   脆皮 烤 鴨   佛跳牆
916,Colin Hsu,6 天前,4,餐點口味有一定水準，價位偏高，服務優良值得讚許 餐點：4/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 蝦鬆 酸菜鴨湯 花開富貴雞,1,1738,餐點 口味 有 一定 水準 ， 價位 偏高 ， 服務 優良 值得 讚 許   餐點 ： 4 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   蝦 鬆   酸菜 鴨湯   花開富 貴雞
917,Peace Liu,6 天前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
918,Jason Yang,1 週前,5,酒家於民國8年（1919）由溫心田創辦。首家設置電梯載客上落。當時的大三元酒家以筵席宴會為主，菜餚高檔，擅製鮑參翅肚等，尤以紅燒大裙翅著稱，時每款售價合白銀60元，時達官顯貴均以能嘗此菜為榮。海外華僑歸來也喜到此宴客。因而開業不久，大三元便聲名鵲起，成為廣州飲食業的「最高食府」之一。  1953年由於資金缺乏歇業。1959年由政府投資裝修復業，成為國營企業。文革期間，大三元易名今勝昔飯店，難以被歸僑認可，生意停滯。  1982年10月，廣州市飲食服務公司（把持酒家單位）與香港龍星投資有限公司合作經營大三元，吸收回香港發展的先進烹飪技藝，推出一批創新菜點。此外還派出廚點（心）師到南京和北京的大三元酒家主理廚政。  1999年，大三元改營速食，2000年4月由於鋪面欠租被迫停業。  2005年，大三元酒家被清拆，後曾用作停車場。  2011年，越秀區政府部門公開徵集大三元酒家重建設計機構，擬建地下一層、地上五層。  2012年，原址變為廣州民間金融街工程部，傳言在地皮建設金融街綜合大樓[2]。  2013年2月，越秀區政府部門放風，向社會各界徵集大三元酒家1930年代外立面圖文資料[3]。  2014年，恆大酒店集團將北京大三元品牌納入旗下[4]。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅豆麻糬甜點 港式片皮鴨 鹹魚雞粒豆腐煲 蝦鬆 翡翠瑤柱羹 鵝油炒芥蘭 蘿蔔絲酥餅 脆皮烤鴨 軟殼蟹米糕 佛跳牆,0,1738,酒家 於 民國 8 年 （ 1919 ） 由溫 心田 創辦 。 首家 設置 電梯載 客上 落 。 當時 的 大三元 酒家 以 筵席 宴會 為 主 ， 菜餚 高檔 ， 擅 製 鮑 參 翅 肚 等 ， 尤以 紅燒 大裙 翅 著稱 ， 時 每款售 價合 白銀 60 元 ， 時達官 顯貴均 以能 嘗此 菜 為榮 。 海外 華僑 歸來 也 喜到 此 宴客 。 因而 開業 不久 ， 大三元 便聲 名鵲 起 ， 成為 廣州 飲 食業 的 「 最高 食府 」 之一 。     1953 年 由 於 資金 缺乏 歇業 。 1959 年 由 政府 投資裝 修 復 業 ， 成為 國營 企業 。 文革 期間 ， 大三元 易名 今勝 昔飯 店 ， 難以 被 歸僑 認可 ， 生意 停滯 。     1982 年 10 月 ， 廣 州市 飲食 服務 公司 （ 把持 酒家 單位 ） 與 香港 龍星 投資 有限公司 合作 經營 大三元 ， 吸收 回 香港 發展 的 先進 烹飪 技藝 ， 推出 一批 創新 菜點 。 此外 還 派出 廚點 （ 心 ） 師到 南京 和 北京 的 大三元 酒家 主理 廚政 。     1999 年 ， 大三元 改營 速食 ， 2000 年 4 月 由 於 鋪面 欠租 被迫 停業 。     2005 年 ， 大三元 酒家 被 清 拆 ， 後 曾 用作 停車場 。     2011 年 ， 越秀 區 政府 部門 公開 徵集 大三元 酒家 重建 設計 機構 ， 擬建 地下 一層 、 地上 五層 。     2012 年 ， 原址 變為 廣州民間 金融街 工程部 ， 傳言 在 地皮 建設 金融街 綜合大樓 [ 2 ] 。     2013 年 2 月 ， 越秀 區 政府 部門 放風 ， 向 社會 各界 徵集 大三元 酒家 1930 年代 外立面 圖文資料 [ 3 ] 。     2014 年 ， 恆 大酒店 集團將 北京 大三元 品牌 納入 旗下 [ 4 ] 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   紅豆 麻 糬 甜 點   港式 片皮 鴨   鹹 魚雞粒 豆腐 煲   蝦 鬆   翡翠 瑤柱 羹   鵝 油炒 芥蘭   蘿 蔔 絲 酥餅   脆皮 烤 鴨   軟殼 蟹 米糕   佛跳牆
919,趙建榮,1 週前,5,衡陽路上老招牌中式餐廳，是米其林星級餐廳，食材優良料理手法經緻，各個包廂均有不同用心的裝潢，服務人員專業用心， 使客人有尊榮感的用餐感受。 餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,衡陽 路上 老 招牌 中式 餐廳 ， 是 米其林 星級 餐廳 ， 食材 優良 料理 手法 經 緻 ， 各個 包廂 均 有 不同 用心 的 裝潢 ， 服務人員 專業 用心 ，   使 客人 有 尊榮感 的 用餐 感受 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
920,先生,1 週前,5,因商會來了2次，每次都沒失望，果名不虛傳！推薦烤鴨必吃,0,1738,因商會 來 了 2 次 ， 每次 都 沒 失望 ， 果名 不虛傳 ！ 推薦 烤 鴨 必 吃
921,Ashley Cheng,1 週前,5,特殊餐點：荔茸香酥鴨非常好吃（個人喜愛） 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 鳳梨蝦球,0,1738,特殊 餐點 ： 荔茸 香酥 鴨 非常 好吃 （ 個 人 喜 愛 ）   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   鳳梨蝦 球
922,Zoe Lin,1 週前,5,烤鴨好吃，鴨架熬成粥也非常好吃，四季豆包夾餅味道蠻特別，開胃菜的醃蘿蔔忍不住續了兩盤，最後大三元甜點真是美好的ending~,1,1738,烤 鴨 好吃 ， 鴨架 熬 成 粥 也 非常 好吃 ， 四季豆 包夾餅 味道 蠻特別 ， 開胃 菜 的 醃 蘿 蔔 忍不住 續 了 兩盤 ， 最 後 大三元 甜點 真是 美好 的 ending ~
923,Sherry Huang,1 週前,5,鵝肉 蝦鬆好吃！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 蝦鬆 脆皮烤鴨,1,1738,鵝肉   蝦 鬆 好吃 ！   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   蝦 鬆   脆皮 烤 鴨
924,YEN-PU Lin,2 週前,1,六星好評，位上的菜只來一個，詢問服務阿姨口氣有夠好的直接說：你先吃啊！其他還在煮，不然？ 一整場上菜時間跟順序不知道在出什麼，第一道冷盤上了過40分鐘才上後面，一次上三道弄到桌子上不下，然後再等40分鐘又上了一道，這麼有名的餐廳、優質的服務實在是值得六星好評！推薦大家要來體驗一下這麼優質的服務！ 餐點：2/5  |  服務：1/5  |  氣氛：1/5,0,1738,六星 好評 ， 位上 的 菜 只 來 一個 ， 詢問 服務 阿姨 口氣 有夠 好 的 直接 說 ： 你 先 吃 啊 ！ 其他 還在 煮 ， 不然 ？   一整 場 上菜 時間 跟 順序 不 知道 在 出什麼 ， 第一道 冷盤 上 了過 40 分鐘 才 上後面 ， 一次 上 三道 弄 到 桌子 上 不下 ， 然後再 等 40 分鐘 又 上 了 一道 ， 這麼 有名 的 餐廳 、 優質 的 服務實 在 是 值得 六星 好評 ！ 推薦 大家 要來 體驗 一下 這麼 優質 的 服務 ！   餐點 ： 2 / 5     |     服務 ： 1 / 5     |     氣氛 ： 1 / 5
925,Stephen Tzang,2 週前,4,米其林一星啊? 這種價位的桌菜內容，其實還有更多選擇…… 餐點：3/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 港式片皮鴨,0,1738,米其林 一星 啊 ?   這種 價位 的 桌菜 內容 ， 其實 還有 更 多 選擇 … …   餐點 ： 3 / 5     |     服務 ： 4 / 5     |     氣氛 ： 4 / 5     建議 的 餐點   港式 片皮 鴨
926,kevin cheng,2 週前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
927,林海豚,2 週前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 鳳梨蝦球 酸菜鴨湯 脆皮烤鴨,1,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   鳳梨蝦 球   酸菜 鴨湯   脆皮 烤 鴨
928,麗莎,2 週前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5,0,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
929,陳先生,2 週前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 富貴明蝦球 脆皮烤鴨,0,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   富貴明 蝦球   脆皮 烤 鴨
930,家瑄,2 週前,5,志工培訓課程結束的聚餐 餐點好吃美味 烤鴨需要提前預約喔?? 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1738,志工 培訓 課程 結束 的 聚餐   餐點 好吃 美味   烤 鴨 需要 提前 預約 喔 ? ?   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
931,張倩菱,3 週前,5,餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅豆麻糬甜點 酸菜鴨湯 翡翠瑤柱羹 鵝油炒芥蘭 脆皮烤鴨 花開富貴雞 鮮蝦腐皮捲,0,1738,餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   紅豆 麻 糬 甜 點   酸菜 鴨湯   翡翠 瑤柱 羹   鵝 油炒 芥蘭   脆皮 烤 鴨   花開富 貴雞   鮮蝦 腐皮 捲
932,葛育廷,3 週前,5,,0,1738,
933,Patina Lin,3 週前,5,回國與朋友聚餐，食物好吃，服務親切還有專業的解說，非常推薦！,0,1738,回國 與 朋友 聚餐 ， 食物 好吃 ， 服務 親切 還有 專業 的 解說 ， 非常 推薦 ！
934,張恬馨,3 週前,5,上禮拜跟家族聚餐來吃，覺得口味很棒，尤其年糕蝦煲，這禮拜又跟老公小孩自己來吃，蒜酥石斑魚很新鮮肉炸得剛剛好，別家常常都會過老，糖醋咕嚕肉也是外酥裡嫩，真的驚豔到，還會再回訪。 餐點：5/5  |  服務：5/5  |  氣氛：5/5,1,1738,上禮 拜 跟 家族 聚餐 來 吃 ， 覺得 口味 很棒 ， 尤其 年糕 蝦煲 ， 這禮 拜 又 跟 老公 小孩 自己 來 吃 ， 蒜 酥 石斑 魚很新 鮮肉 炸得 剛剛 好 ， 別家 常常 都 會過 老 ， 糖醋 咕嚕 肉 也 是 外 酥裡 嫩 ， 真的 驚 豔 到 ， 還會 再 回訪 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5
935,姜東和,3 週前,4,餐點：4/5  |  服務：4/5  |  氣氛：3/5,1,1738,餐點 ： 4 / 5     |     服務 ： 4 / 5     |     氣氛 ： 3 / 5
936,HAI HAI,4 週前,5,副總服務好，講話幽默，菜品有特色好吃！,0,1738,副 總 服務好 ， 講話 幽默 ， 菜品 有 特色 好吃 ！
937,樂順,4 週前,5,很好吃,0,1738,很 好吃
938,Conzs Hsiao,4 週前,5,,0,1738,
939,姚智元,1 個月前,1,未經客戶同意，更改客人菜單，並不尊重客人！ 餐點：1/5  |  服務：1/5  |  氣氛：5/5,0,1738,未經 客戶 同意 ， 更改 客人 菜單 ， 並不 尊重 客人 ！   餐點 ： 1 / 5     |     服務 ： 1 / 5     |     氣氛 ： 5 / 5
940,G L,1 個月前,4,餐廳內設裝飾非常有意思。金湯白玉鮑的作法非常有特色，烤鴨也不錯。也許是對星級的飯店有點期待，所以當無法點到自己想吃的菜時，失望感相對明顯。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 南瓜鮑魚湯 脆皮烤鴨,0,1738,餐廳 內設 裝飾 非常 有意思 。 金湯 白玉 鮑 的 作法 非常 有 特色 ， 烤 鴨 也 不錯 。 也 許是 對 星級 的 飯店 有點 期待 ， 所以 當無法點 到 自己 想 吃 的 菜 時 ， 失望 感相 對 明顯 。   餐點 ： 5 / 5     |     服務 ： 5 / 5     |     氣氛 ： 5 / 5     建議 的 餐點   南瓜 鮑魚湯   脆皮 烤 鴨
