comment
好吃的本幫菜 勝過很多新開的上海餐館就是餐廳裝潢有點廉價感
經典上海菜，台北已經很稀有了。 菜色經典之外，服務也是經典。茶水、客製化點餐、餐後水果……，真的令人回味無窮。大推醃篤鮮湯品，讓奶奶的拿手美味經典重現。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
可口的。我在觀光的最後一天在這裡吃飯，我很高興這是最後一天。如果我第一天吃的話，我可能每天都會吃這個。這家店好像很受歡迎，所以有人告訴我有些商品已經賣完了。我也能聽懂 Katakoto 英語。謝謝。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
我住處附近第一家清真餐廳。價格和食物還可以。喜歡這個地方的氛圍，讓我們體驗台灣人民文化的日常生活。 餐點：3/5  |  服務：3/5  |  氣氛：5/5
沒關係 餐點：3/5  |  服務：4/5  |  氣氛：3/5
清真牛肉麵館  紅燒半筋半肉牛肉麵好吃，不過牛肉跟以前比，好像變少了   服務態度好，環境乾淨明亮 紅燒湯底不死鹹，家常麵Q彈 可以加湯加麵 餐點：4/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 半筋半肉 紅燒牛肉麵
看起來很濃厚湯頭，但很清爽，麵很Q彈滑順，牛肉紮實入味，加酸菜下去直接提升一個檔次，份量適中男生吃會飽 餐點：4/5  |  服務：4/5  |  氣氛：4/5
與鄰近的清真餐廳——張牛肉麵相比，這個地方似乎被低估了。我喜歡牛筋燜湯（辣），比張家的更有味道。不過，牛肉捲不太合我的胃口。這只是口味偏好不同而已。有些人可能會喜歡它。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 Beef Soup
餐點：5/5  |  服務：3/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 清燉牛肉湯
餐點：4/5  |  服務：4/5  |  氣氛：3/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5
我最喜歡的牛肉麵。肉湯真好吃。如果有一個地方我還想再去的話，那就是這家再次吃牛肉麵的店了。 餐點：5/5  |  服務：3/5  |  氣氛：5/5  建議的餐點 Beef Noodles
令人愉快和愉快的服務人員。他們熱情地跟我打招呼。提供建議並了解肉的嫩度。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅燒半筋半肉牛肉麵
清燉牛肉湯很好喝 因為是出鍋後另外下鹽巴調味的 所以喝之前要先攪拌一下 餐點：5/5  |  服務：4/5  |  氣氛：3/5
餐點：5/5  |  服務：5/5  |  氣氛：3/5
動作非常慢，還會漏單 氣氛：1/5
可以免費加麵～紅燒牛肉口味不錯 餐點：5/5  |  服務：5/5  |  氣氛：5/5
很棒的食物  店主薩利姆非常友好  我嘗試了原汁原味的牛肉麵湯和 Jaouza。這是 10/10。 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
牛肉餅厲害，煎餃普通，牛腩不錯，湯頭也還ok 餐點：5/5  |  服務：5/5  |  氣氛：5/5
牛肉水餃風味好牛雜也很好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：2/5

超級讚
"星期五六點來吃麵，沒有大蒜，也沒有水餃。可以認真一點嗎？Hala Friendly, isn't it? 餐點：4/5  |  服務：2/5  |  氣氛：2/5"
上班中午偶爾會來吃，口味還不錯。  1.麵體本身有嚼勁，不過偶爾太硬，點麵前可以跟老闆們說一下，會煮軟一點。  3.湯頭還不錯，偶爾太鹹。 不論清燉或紅燒的肉都不柴，但紅燒比較軟，還不錯吃，偶爾紅燒牛肉也有點太鹹。  4.最吸引人的是可以加湯加麵，但通常只加一次湯，麵就留到很餓時再加。 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 清真牛肉面 清燉牛肉麵好吃
湯頭跟麵條都普普，肉跟牛雜不行，只有價格親民跟免費加湯加麵給推 餐點：3/5  |  服務：5/5  |  氣氛：5/5
平日中午人不多，牛肉好吃個人會再訪 餐點：5/5  |  服務：4/5  |  氣氛：4/5
紅燒牛肉麵140，麵條有嚼勁，但紅燒湯頭味道沒有特別濃郁的牛肉湯味，酸菜稍微偏鹹，牛肉吃起來軟嫩，整體來說中規中矩。 餐點：4/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5
從名字就可以看出這是一家清真牛肉麵店，使用的是台灣牛肉產品。  我點了這三寶面，裡面有牛、筋、肚。  店裡很熱鬧，從一早就開始賣傳統早餐，中午就開始提供牛肉麵。  煮得很好，調味很淡，所以我需要添加更多的味道，例如泡菜和辣椒油。  沒想到我發現他們的煎餃非常好吃！ 餐點：4/5  |  服務：4/5  |  氣氛：4/5
1、牛肉麵可以加麵加湯不用錢！ 2、一定要加入榨菜  絕了 3、小菜敢吃酸的可以吃泡菜 4、小菜喜歡吃口感的可以選擇干絲 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅燒半筋半肉牛肉麵 清燉牛肉湯 海帶 豆干 泡菜 紅燒牛筋湯 清燉牛肉麵好吃 干絲小菜
牛肉和牛筋本身的處理不錯！ 但麵粗無嚼勁，湯頭感覺味道沒有到濃度或味道，屬實可惜 餐點：3/5  |  服務：3/5  |  氣氛：4/5
點了一碗清燉牛肉麵，一分鍾左右上桌，麵又糊又軟爛，果然看到不知何時早就煮好一堆麵，不太尊重自己的招牌！客人特地去吃，隨?便便端一碗‘’麵‘’，不會再訪！離譜！ 餐點：1/5  |  服務：1/5  |  氣氛：1/5
紅燒牛肉麵好吃 酸菜也好吃  吃完沒很飽  離開後才發現可以加湯加麵 下次有機會再光顧 餐點：4/5  |  服務：5/5  |  氣氛：4/5

這家清真黃牛肉麵聽說已經開業七十年了，加湯加麵不用錢，而且冷氣也很強，價格稍微偏貴一點，但好像現在牛肉麵都是那麼貴 主食可以選麵、粉絲、泡餅跟乾拌，再選湯頭 ??紅燒三寶麵（牛肉牛筋牛雜）$200 牛肉很大塊、牛雜也沒有腥羶味，牛筋則屬於比較偏硬有嚼勁一點，手工麵條十分Q彈，紅燒也不會很辣，所以我還另外再加店裡的辣椒 ??清燉牛肉泡餅$140 湯頭清甜，牛肉偏有嚼勁，泡餅其實看起來像吐司但吃起來又有點不一樣，我是不怎麼喜歡，可以看個人喜好選擇
牛腩麵，上來湯是溫的，只有八角味，吃不到牛肉湯鮮甜。一片青菜都沒有，另外點了燙青菜，那份量就當沒有吧 餐點：2/5  |  服務：3/5  |  氣氛：2/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 紅燒半筋半肉牛肉麵 清燉牛肉麵好吃

餐點：5/5  |  服務：5/5  |  氣氛：5/5
穩定安心的牛肉麵店，可以續麵續湯，清燉或紅燒都有一定的水準，服務親切，在北車附近就來試吧 餐點：4/5  |  服務：4/5  |  氣氛：3/5
非常寬敞。個人很喜歡他們的湯和米粉。我在最後一天再次回到那裡，當我回到台北時肯定會回到那裡。  願他保佑您的生活和事業??謝謝。 餐點：4/5  |  服務：5/5  |  氣氛：5/5

非常失望 餐點：2/5  |  服務：1/5  |  氣氛：2/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
人潮絡譯不絕 中午餐 及 晚上用餐 下班 休息時間 人真的好多 口碑 食用上口感也非常 極優  麵館店家 讚 讚 讚 加油 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 清真牛肉面 過橋牛腩麵 紅燒半筋半肉牛肉麵 紅燒牛肉泡餅 黃豆芽小菜 涼拌蘿蔔絲 紅燒牛筋 自調沾醬 地瓜 葉 清燉三寶 炸醬麵 牛肉燒餅 酸辣湯 還好 紅燒牛筋湯 清燉牛肉麵好吃 半筋半肉 紅燒牛肉麵 紅燒牛雜麵 自製辣椒 酸菜 蛋花湯 兩碟小菜 清燉牛腩麵 干絲小菜

我點錯了，所以只喝了湯和肉，但光吃這些就已經很滿足了。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點

餐點：5/5  |  服務：5/5  |  氣氛：5/5
塞達阿阿阿應用程式 餐點：5/5  |  服務：5/5  |  氣氛：4/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
清燉的湯頭不錯，半筋半肉的牛筋口感稍硬，麵條咬起來蠻有嚼勁的。 餐點：4/5  |  服務：4/5  |  氣氛：4/5

今天吃清燉牛肉麵，味道不錯，應該有少少味素，還可接受 餐點：4/5  |  服務：4/5  |  氣氛：5/5
超好的清真食品 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 Side Dish and Some Daises with Beef Dumplings Noodle Soup
Came here three days in a row. Soup and noodles are Luke warm. Can’t really taste the flavor.不會回來。 建議的餐點 Side Dish and Some Daises with Beef Dumplings

"清燉牛腩泡餅200元,還可以但沒讓我驚豔 牛肉捲餅40元,固然便宜,但非現烙的餅皮,沒有捲上大蔥,甜麵醬少了醬香而且太甜,個人不太喜歡 餐點：3/5  |  服務：3/5  |  氣氛：3/5"
餐點：4/5  |  服務：4/5  |  氣氛：3/5
餐點：5/5  |  服務：4/5  |  氣氛：4/5

清燉牛肉麵湯超淡 麵條也沒彈性 牛肉沒什麼可稱讚的 不會再訪
紅燒湯好吃，單喝湯會有些鹹了，牛肉捲餅$40，不算貴，有味道，看的到牛肉，店內滿多客人的。（5/18）湯還是一樣鹹，牛肉還是好吃的！牛肉入口即化！ 餐點：4/5  |  服務：3/5  |  氣氛：3/5
正宗清真 有認證編號 好吃 加湯加麵不用錢 老闆大方 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 半筋半肉 紅燒牛肉麵 紅燒牛雜麵 清燉牛腩麵  停車位 停車位有點難找  附近的停車場 付費停車位
這家店。整體來說。 味道純真。用料十足。 有麵。牛肉水餃。 還有小菜。 尤其價格。很平民。  服物很好 餐點：4/5  |  服務：4/5  |  氣氛：4/5
服務態度很好 用餐氣氛融洽 又有小菜可以拿 餐具也十分乾淨
我點了紅燒牛肉麵。是因為它是清真的嗎？湯的味道沒有深度，還有淡淡的肉腥味，整個餐廳有一種難以形容的味道，就像是在加工肉類時的味道，我個人覺得難以忍受。
吃了二十年的老店 餐點：5/5  |  服務：5/5  |  氣氛：5/5
旁邊還有一家老店還沒有吃過，想試試。 餐點：3/5  |  服務：3/5  |  氣氛：2/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 清真牛肉面 半筋半肉 紅燒牛肉麵 清燉牛腩麵 牛肉捲餅
餐點：5/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 紅燒牛雜麵 酸菜
整體是偏甜口味 價格佛心，牛肉也給的大方 小菜一碟25$ -- 可惜辣椒醬類，不是太鹹就是不辣 很想要找生辣椒 餐點：3/5  |  服務：3/5  |  氣氛：3/5  建議的餐點 牛肉捲餅

就是好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5
點了一碗半筋半肉紅燒牛肉麵 豆乾 小黃瓜 搭配店裡特製牛油醬 還不錯吃 價位偏高 一個女生吃大碗蠻撐的 餐點：4/5  |  服務：5/5  |  氣氛：4/5

我吃了菜單上的第二個醬油和最後一個菜單上的醬油，而不是原來的260。個人覺得原味的gungmul味道比較好，肉質很軟，最後的菜單有肉和Cheonyeop豬腳膠原蛋白，質感很好。不使用easy卡，只收現金。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
牛肉滿嫩的 讚！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
台北最好吃ㄉ牛肉麵?? 湯有牛油香氣四溢，但吃起來不會過油。 紅燒的湯有點偏鹹但搭配麵一起吃的味道很平衡～清燉的風味更清甜，個人更愛清燉的～ 細麵很Q 稍微泡軟之後吸滿湯汁也很棒。牛肉有五塊，除了有一兩塊會有比較難咬的筋之外都非常軟嫩，瘦肉部分也不柴。 另外很加分的是店內乾淨，冷氣也很涼。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
老闆娘親切的笑容，替這個滿分一百分的麵，再加了十分 餐點：5/5  |  服務：5/5  |  氣氛：5/5
簡單且濃郁，採用細麵更能吸附湯汁，真的是難以忘懷的味道。 環境整潔乾淨，不像牛肉麵店。 值得推薦 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 清燉牛肉麵細麵
環境舒服 麵普通 肉很少
餐點：5/5  |  服務：5/5  |  氣氛：5/5
第一次來這家餐廳。這裡的食物已經成為我在台灣最喜歡的牛肉麵了！  細麵和湯很配，湯有點藥草味，但又不會太多，入口順滑，還有主角——牛肉，非常非常嫩，多汁！  這對我和我男朋友來說是一個非常驚喜的事情。我們辦完事後就在附近尋找吃的東西。沒想到我們第一次嘗試後就喜歡上了這裡的食物。  一大亮點是他們提供牛肉黃油（或脂肪），為湯增添更多鮮味  強烈推薦給喜歡牛肉麵的人 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 Braised Beef Soup
餐點：5/5  |  服務：5/5  |  氣氛：5/5
環境很舒適乾淨有冷氣，牛油跟酸菜桌上都不會放，對於第一次吃的我們，吃到最厚看到有其他客人在詢問，老闆娘才從小菜櫃上方拿下來提供，觀感不太好，好像很怕別人吃。 也就是這樣我們吃了清燉跟紅燒的原味，湯頭很普通，但是沒什麼油是優點。 紅燒湯就像是醬油味，吃不太出來其他的香氣跟味道，清燉好一些但是口味也是較大眾。可能不是我喜歡的口味。小菜豆乾非常非常的鹹，要不是不想要浪費食物不然其實不太想吃…  備註：店家有提供蹲式廁所可使用，也有茶水。老闆夫妻算親切 餐點：3/5  |  服務：4/5  |  氣氛：5/5
8/4中午午餐-清燉湯頭真的很清，麵很細，牛肉蠻嫩的。 餐點：4/5  |  服務：4/5  |  氣氛：4/5
清如水清燉牛肉湯，滋味非常濃郁，好喝，料多大碗！ 餐點：5/5  |  服務：5/5  |  氣氛：4/5
經典的風格，美味的食物，出色的主人！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5
到住宿還有時間辦理入住，所以也沒找，但是有客人，就進去了，但是比想像中的好吃！ 餐點：4/5  |  服務：5/5  |  氣氛：3/5
大家不要來，好吃的店自己知道就好
建議的餐點 清燉牛肉麵細麵
餐點：4/5  |  服務：4/5  |  氣氛：4/5
好吃 餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
從大學時期開始就很喜歡的一家愛店，十年來口味都沒有改變過，紅燒的湯頭一點也不油膩，自己可以酌量添加牛油(微辣) 雖然有漲價，但此價位仍是台北市之中算親民的 店內非常乾淨，用餐氣氛很舒服，巷弄中一家很有質感的牛肉麵店 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅燒牛肉麵 小
餐點好吃又大份，是在台北少數吃到覺得很好吃的牛肉麵店。 另外還對店內手寫的菜單印象很深刻，寫得好好看。 今日不小心遺漏了耳機盒，店家還立刻追出來拿給我，人好好相當感動。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
全家都愛吃，吃好幾年了，兩個口味都不錯，麵很細、肉也夠味。 店內菜單跟告示都是書法，很有韻味
第一次見到這麼有格調的牛肉麵館，裡面音樂很有品味，環境乾淨，餐單牛肉麵湯頭很好，味道很好喝，補足牛肉跟麵的味道，因為牛肉跟麵條比較無味，整體搭配起來剛剛好 老闆娘很有氣質！老闆老闆娘人都很好
鹹
超爆鹹?
這裡的牛肉麵攤非常好吃。湯汁清澈，味道不油膩。他們不賣飲料，但允許你帶外面的食物進來。反正對面就有飲料店可以買。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
還不錯吃，加一點辣更好吃。 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 紅燒牛肉麵 小碗
老闆娘很親切 清燉牛肉麵的湯頭很好 桌上的辣椒醬很有味
在台北真的便宜又大碗，絕對不會吃不飽，麵老闆給超多，湯頭屬於甘甜清爽的，點紅燒但味道也不像一般紅燒牛肉麵口味很重，湯頭是可以喝的！！！  下次想吃半筋半肉，但店內不歡迎共食，所以食量小可以考慮不要點大份的。 建議的餐點 清燉牛肉麵細麵
麵體軟硬剛好 牛肉牛筋燉的火候也剛好 清燉湯頭爽口 紅燒是醬油派，老人家認同有入味 大碗份量足夠兩人享用 建議的餐點 清燉牛肉麵細麵
清燉湯頭不錯，要加上特製的牛油辣椒，會更香
牛肉麵味道不錯，小心辣椒醬很辣， 餐點：5/5  |  服務：4/5  |  氣氛：4/5
很難吃非常難吃，醬油湯配機器麵再加幾塊咬不動的牛肉
湯頭不錯，不是醬油湯 牛肉塊有咬勁，不錯 麵條是細麵，喜歡 #uberlife #牛肉麵 #不錯吃 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 紅燒牛肉麵 小
點了清燉牛肉湯（小）加二?小菜，個人覺得這店可以放入口袋名單中。 店內環境優雅、清潔。味道適合我，小菜也美味可口！
我覺得這家牛肉麵的口味真的是做的很不錯，環境也很清潔，算是這一區裡面很好的 專程跑來吃也不會失望 餐點：5/5  |  服務：5/5  |  氣氛：5/5
老闆用心熬煮的湯頭非常棒，最喜歡吃清燉牛肉麵，好吃且價格公道 半筋半肉牛肉麵雖然相對清燉較貴，但筋肉份量沒在手軟，就是「牛」味！ 從小吃到大的一家店，支持
紅燒或清燉都很好吃，湯頭有用心，小碗就吃很飽了 餐點：5/5  |  服務：5/5  |  氣氛：5/5
建議的餐點 清燉牛肉麵細麵
紅燒牛肉麵$120(小) 很平價卻意外的好吃！蠻驚艷的 雖然是紅燒，但湯頭很乾淨不會油膩， 有點中藥的感覺？ 麵條用的是細麵，整體吃起來很清爽。  肉很嫩，不過其中有一塊筋特別難咬 我們點了三碗裡都有一塊難咬的肉
好吃 美味 乾淨 推薦 肉燉很爛 讚 餐點：5/5  |  服務：4/5  |  氣氛：4/5

牛肉麵好吃，價格不貴 餐點：5/5  |  服務：5/5  |  氣氛：5/5
用料很實在，牛肉、牛肚、牛筋都很大塊且很好吃但湯頭偏鹹，加一點牛油會更好吃。
十分牛逼 好吃
蠻好吃的 闆娘也親切 酸菜切得較碎口感一點加入湯頭恰恰好 紅燒韻味而不油 清燉有股味漸漸回甘 來不及拍 桌子上的菜單書寫很不賴
好吃、cp值高，支持！
《就是牛》紅燒牛三寶 好吃 牛筋Q彈 牛肚滑嫩 可惜紅燒湯頭有點鹹 下次來吃清燉看看：）
紅燒牛肉麵 一上桌看到細麵條，感覺口感應該會很棒，而且大碗看起來份量超大，一嚐卻發現麵條有點太軟，口感不佳。湯頭醬油味重，有點單一，不是很合胃口，牛肉切的細小，口感偏老，?硬也不算太硬，應該算有彈性吧。整體的餐點只有份量大的優點，其實吃起來很普通，店內菜單都是毛筆字書寫，桌椅古色古香，空間明亮，餐具與醬料瓶也都精心挑選，感覺比較像是來吃氣氛的。
老闆和老闆娘很熱情，用料實在的牛肉麵店家！價格很佛心，每次回臺北都會來光顧


不難吃 麵口感不OK 太軟 但量好像是2球多
牛肉很柴沒入味、麵條只有細的太軟爛，紅燒湯頭就是醬油味沒有香味，唯一就是價格合理，但不會再去第二次

非常好吃
麵體好吃，牛肉有咬勁，湯頭清爽不油膩。
對我來說～味道做很足但是有點太鹹 晚餐到這裡來享用有紅燒牛肉麵跟清燉牛肉麵，選擇了清燉牛肉麵來吃，麵體選擇接受就是只有細麵，不得不說老闆煮麵的功夫非常的好～老闆娘也都在一旁幫忙端麵～還有滷味可以選擇，但是選擇的菜很少～所以基本上就是只點了麵～麵真的都很大碗絕對吃得飽肉也很大塊不是散肉～非常好吃
特殊湯頭 牛肉好吃 搭配細麵讚
就是牛
2022/03/03  點了紅燒牛肉麵，大碗140元。  我覺得它的湯頭味道有點特別，不知道怎麼形容，要說有點怪也行，有點重，而麵的話滿特別，是很細的那種，比一般的細麵還要細一點，肉的話則感覺有些微硬。  整體還ok，只是比較不對我胃口，有機會再吃吃看清燉><  環境：★★★★☆ 味道：★★★☆☆ 價格：★★★★☆ 綜合：★★★★☆
吃了帶有牛肉塊和筋的大豆麵。肉和筋都非常好而且嫩。我認為麵條有點軟。湯頭有豆香味，但仍有濃鬱的牛肉味。湯是我迄今為止在台灣吃過的最鹹的。我加了一點醋，味道很棒。工作人員很友好。如果您喜歡鹹味的美味肉湯，可以推薦它。我的碗230NTD。
麵條與眾不同 雖然我更喜歡有嚼勁一點的麵條 湯頭非常出色 吃完後常常回想起那味道 非常值得一試
點了紅燒牛肉麵吃，分量、口味、口感都不錯！
還不錯啊～ 吃的大份真的很大，麵條是細麵沒得選的，紅燒湯是醬油味沒錯但本身也是牛肉湯，不影響好吃啊。牛肉有幾塊真的硬，即使切成薄片也是硬?? 不過老闆打招呼態度很好，店裡氛圍也很好。
美味的滷麵店
大碗分量多，牛油很香，辣椒的部分也是畫龍點睛。
清燉牛肉麵還可以，吃粗飽，認真的店家
清燉的看起來清淡，喝起來味道確濃厚，有好的映像，但是麵一吸入口，就是一團麵團在口中的感覺，麵完全沒Q度
湯底較鹹，份量不多，其餘還可以
就是牛~~~就是鹹 ~~~~就是鹹~~~喜歡喝醬油的重口味的可以來喔  服務態度不錯  但是就是太鹹   個人評論 不要太介意
一陣子沒來吃 不知道是不是太久沒吃 感覺紅燒湯頭幾乎都是醬油味道 醬油很重 不過牛肉還是頗大塊 還算可以
牛肉麵很好吃 肉Q彈 推薦大家
紅燒牛肉麵好吃。

令人難以置信的肉湯、肉和麵條。完全沒有抱怨
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：1/5  |  氣氛：1/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
來北車都回來吃 餐點：5/5  |  服務：4/5  |  氣氛：4/5
老板，上菜時可以不要把手指頭插進湯裡面嗎？ 餐點：1/5  |  服務：1/5  |  氣氛：1/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 羊肉蓋飯
Cp值不錯的 推薦 餐點：5/5  |  服務：3/5  |  氣氛：3/5
用料非常大方的老闆，讚！ 餐點：5/5  |  服務：5/5  |  氣氛：5/5  建議的餐點 羊肉羹飯
羊肉香氣撲鼻、羊肉愛好者，一定要來吃一波 價錢相對的實惠，羊肉乾麵90塊可以吃到的羊肉絕對超過90塊的價值 餐點：5/5  |  服務：4/5  |  氣氛：5/5
餐點：4/5  |  服務：2/5  |  氣氛：3/5  建議的餐點 羊肉羹飯

點一碗羊肉羹跟燙青菜！ 想試試味道！羹湯的羊肉沒有騷味！湯頭濃郁有一股中藥香味！ 加一匙蒜頭一點辣椒 真的很不錯！ 點完菜很快上桌！口味鹹淡剛好！ 餐點：4/5  |  服務：4/5  |  氣氛：4/5
下課後聞香走進，點碗羊肉羹麵，有淡淡的中藥味，湯頭很濃稠，肉片量相較其他麵店算是多，羊肉沒有腥羶味，口味稍微鹹一點。 餐點：5/5  |  服務：5/5  |  氣氛：5/5
羊肉超嫩，味道極好，唯一就是冷氣不夠強，午餐太熱了。 餐點：5/5  |  服務：4/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：4/5
市區價位 口味不差 餐點：4/5  |  服務：4/5  |  氣氛：4/5
餐點：5/5
餐點：5/5  |  服務：5/5  |  氣氛：5/5
餐點：4/5  |  服務：4/5  |  氣氛：3/5  建議的餐點 羊肉蓋飯 羊肉羹飯
餐點：4/5  |  服務：4/5  |  氣氛：4/5
冷氣很夠，地方很寬敞。羊肉有淡淡的中藥味，不會很重。一碗正常的size也很大，很飽。吃不慣?，太稠了。但羊肉?冬粉還是很好吃，推。。。希望下次到台灣，還能吃到。 餐點：5/5  |  服務：4/5  |  氣氛：3/5
滿好吃的 餐點：4/5  |  服務：5/5  |  氣氛：4/5

餐點：3/5  |  服務：3/5  |  氣氛：3/5
好吃 餐點：4/5  |  服務：4/5  |  氣氛：4/5  建議的餐點 羊肉蓋飯 羊肉羹飯
餐點：5/5  |  服務：4/5  |  氣氛：5/5  建議的餐點 羊肉蓋飯
難吃 甜的羊肉羹
餐點：2/5  |  服務：2/5
很普通的一盤炒麵 價格便宜
味道中上、價格合理。店內整潔明亮。
羊肉量還算多，可以選羹飯很加分 但調味上有個類似五香？的味道吃起來比較不習慣 老闆沒什麼服務熱忱但小吃店也不用太強求啦 餐點：4/5  |  服務：3/5  |  氣氛：3/5
吃羊肉吃粗飽好店家 肉量很有誠意 餐點：5/5  |  服務：5/5  |  氣氛：5/5
好吃羊肉不會有騷味 餐點：5/5  |  服務：5/5  |  氣氛：4/5
快速出餐，餐點多樣，好吃。 餐點：4/5  |  服務：4/5  |  氣氛：4/5
"東西蠻好吃的，女店員服務態度還不錯。 男店員的態度就很........ 感想就跟大家說的都一樣， 想體驗服務態度一顆星的人， 可以抱著""吃一次看看就好""的心態去試試看。 記得多跟男店員互動喔"
男店員的態度^_^ 自己看下面大家的留言就知道
經濟實惠，大學回憶，好吃。
餐點：4/5  |  服務：2/5  |  氣氛：3/5
這次點羊肉蓋飯，CP值高，羊肉有加入中藥材一起烹煮，吃起來有股淡淡的中藥香氣，每一口飯都可以配到羊肉，青菜也給的不少，值得下次再訪！離小南門捷運站跟東吳大學很近
羊肉蓋飯跟關東不錯 餐點：5/5  |  服務：5/5  |  氣氛：3/5  建議的餐點 羊肉蓋飯
當你點羊肉羹米粉或冬粉上桌時，及乎見不到湯，碗底沉澱不知什麼粉，難吃到不行，真是後悔！
與家人已第二次來訪，羊肉飯，羊肉羹，羊肉麵都非常夠味，份量也很夠，價位cp值算高，唯獨就是胖胖的男生（不知道是不是老闆）口氣不是很好但有問題還是會答覆，胖老闆請加油
老闆態度很差
沒有羊味、料多實在的羊肉羹飯  羊肉羹飯NT70元。一口喝下暖暖的羹湯，足以能溫暖寒冬的冷 建議的餐點 羊肉羹飯
店家態度差，問個品項都不耐煩。
份量大羊肉米粉羹米粉超多，吃粗飽的，滋味普通，羊沒有什麼羊肉味，想吃羊肉獨特味道的可以不用考慮
口味重、不知道是不是味精的問題，吃完後非常口渴，不習慣重口味的人不建議
真是享受美味 店?清爽乾凈 餐點：5/5  |  服務：5/5  |  氣氛：5/5
羊肉乾麵 甜不辣都還不錯
十分夠味的沙茶羊肉拌麵、拌飯。
羊肉羹麵好吃 有中藥味 湯濃料多 加蒜泥和醋 更好吃 大碗80 女生吃很飽 星期日中午有開店，客滿。
家常料理 餐點：3/5  |  服務：3/5  |  氣氛：3/5

南陽補習街上，羊肉盤如果是熱的會更好，羹類個人覺得口味一般
餐點可以，但胖男店員態度可再好ㄧ點，畢竟是服務業

老闆口氣差，態度不好。羊肉調味濃，沒什麼羊肉味，吃久會膩。有提醒會有小碎骨，吃時要非常小心?
服務態度不佳，餐點尚可
多又不會太撐的羊肉蓋飯，大讚  特殊餐點：以羊肉為主訴求的常民飲食，好吃沒騷味喔

空間桌面乾淨，送餐速度快，羹屬於南部偏甜，甜不辣醬汁好吃，值得推薦
東西普普，而老闆服務態度差
店員態度很差、講話口氣很不耐煩
"羊肉蓋飯真的很好吃 ,沙茶味加肉燥！！"
服務態度差，隔壁客人都坐定了才要人家不可以坐四人桌，不知道這是什麼邏輯，有限制就一開始說。餐點尚可，羊肉給很多，但吃起來沒什麼羊肉味。有點膩。
羊肉味道佳，綜合羹湯cp 值高，非常推薦！
羊肉飯口味偏甜.沙茶調味，份量依價格來講算平價 關東煮入味、口感軟嫩都又不爛，建議搭配店家自製辣椒醬 很好吃

很棒的商家，口味很棒，價格合理
羊肉超好吃，價格又平價，超級推薦

"約12點經過,客人還不多。當時是點羊肉蓋飯,覺得還不錯"
羊肉很不錯，乾麵cp值很高
餐點是好吃的，但店員態度很差、講話口氣很不耐煩，多次造訪都沒有改善。 結帳找零時我禮貌的說聲謝謝並伸手去接零錢，店員卻無視並把錢直接放在我手旁邊的桌面上，當下非常錯愕。 由於太多次不好的服務體驗，之後不會再訪。





大碗綜合麵，100元
